[-2.77416,-2.20426]
[-2.7712,-2.20144]
[-2.76826,-2.19861]
[-2.76532,-2.1958]
[-2.76238,-2.19299]
[-2.75945,-2.19018]
[-2.75653,-2.18738]
[-2.75361,-2.18458]
[-2.75069,-2.18179]
[-2.74778,-2.179]
[-2.74488,-2.17622]
[-2.74198,-2.17344]
[-2.73908,-2.17066]
[-2.73619,-2.16789]
[-2.7333,-2.16513]
[-2.73042,-2.16237]
[-2.72755,-2.15961]
[-2.72467,-2.15686]
[-2.72181,-2.15411]
[-2.71895,-2.15136]
[-2.71609,-2.14863]
[-2.71324,-2.14589]
[-2.71039,-2.14316]
[-2.70754,-2.14043]
[-2.70471,-2.13771]
[-2.70187,-2.13499]
[-2.69904,-2.13228]
[-2.69622,-2.12957]
[-2.6934,-2.12687]
[-2.69058,-2.12417]
[-2.68777,-2.12147]
[-2.68497,-2.11878]
[-2.68217,-2.11609]
[-2.67937,-2.11341]
[-2.67658,-2.11073]
[-2.67379,-2.10805]
[-2.67101,-2.10538]
[-2.66823,-2.10272]
[-2.66546,-2.10005]
[-2.66269,-2.0974]
[-2.65992,-2.09474]
[-2.65716,-2.09209]
[-2.6544,-2.08944]
[-2.65165,-2.0868]
[-2.6489,-2.08416]
[-2.64616,-2.08153]
[-2.64342,-2.0789]
[-2.64069,-2.07627]
[-2.63796,-2.07365]
[-2.63523,-2.07103]
[-2.63251,-2.06842]
[-2.62979,-2.06581]
[-2.62708,-2.0632]
[-2.62437,-2.0606]
[-2.62167,-2.058]
[-2.61897,-2.05541]
[-2.61627,-2.05282]
[-2.61358,-2.05023]
[-2.61089,-2.04765]
[-2.60821,-2.04507]
[-2.60553,-2.0425]
[-2.60286,-2.03993]
[-2.60019,-2.03736]
[-2.59752,-2.0348]
[-2.59486,-2.03224]
[-2.5922,-2.02968]
[-2.58954,-2.02713]
[-2.58689,-2.02458]
[-2.58425,-2.02204]
[-2.58161,-2.0195]
[-2.57897,-2.01696]
[-2.57633,-2.01443]
[-2.57371,-2.0119]
[-2.57108,-2.00937]
[-2.56846,-2.00685]
[-2.56584,-2.00433]
[-2.56323,-2.00182]
[-2.56062,-1.99931]
[-2.55801,-1.9968]
[-2.55541,-1.99429]
[-2.55281,-1.99179]
[-2.55022,-1.9893]
[-2.54762,-1.98681]
[-2.54504,-1.98432]
[-2.54246,-1.98183]
[-2.53988,-1.97935]
[-2.5373,-1.97687]
[-2.53473,-1.97439]
[-2.53216,-1.97192]
[-2.5296,-1.96945]
[-2.52704,-1.96699]
[-2.52449,-1.96453]
[-2.52193,-1.96207]
[-2.51938,-1.95962]
[-2.51684,-1.95717]
[-2.5143,-1.95472]
[-2.51176,-1.95228]
[-2.50923,-1.94984]
[-2.5067,-1.9474]
[-2.50417,-1.94497]
[-2.50165,-1.94254]
[-2.49913,-1.94011]
[-2.49662,-1.93769]
[-2.49411,-1.93527]
[-2.4916,-1.93285]
[-2.48909,-1.93044]
[-2.48659,-1.92803]
[-2.4841,-1.92562]
[-2.4816,-1.92322]
[-2.47911,-1.92082]
[-2.47663,-1.91842]
[-2.47414,-1.91603]
[-2.47167,-1.91364]
[-2.46919,-1.91125]
[-2.46672,-1.90887]
[-2.46425,-1.90649]
[-2.46178,-1.90411]
[-2.45932,-1.90174]
[-2.45687,-1.89937]
[-2.45441,-1.897]
[-2.45196,-1.89464]
[-2.44951,-1.89228]
[-2.44707,-1.88992]
[-2.44463,-1.88756]
[-2.44219,-1.88521]
[-2.43976,-1.88286]
[-2.43732,-1.88052]
[-2.4349,-1.87818]
[-2.43247,-1.87584]
[-2.43005,-1.8735]
[-2.42764,-1.87117]
[-2.42522,-1.86884]
[-2.42281,-1.86651]
[-2.4204,-1.86419]
