[-6.91515,-6.37394]
[-6.91805,-6.37695]
[-6.92095,-6.37997]
[-6.92385,-6.38298]
[-6.92675,-6.38599]
[-6.92966,-6.38901]
[-6.93256,-6.39203]
[-6.93547,-6.39505]
[-6.93837,-6.39807]
[-6.94128,-6.40109]
[-6.94419,-6.40411]
[-6.94711,-6.40714]
[-5.22961,-4.44078]
[-5.21546,-4.42771]
[-5.20138,-4.4147]
[-5.18737,-4.40174]
[-5.17342,-4.38885]
[-5.15954,-4.37602]
[-5.14572,-4.36324]
[-5.13196,-4.35052]
[-5.11826,-4.33786]
[-5.10463,-4.32525]
[-5.09106,-4.31271]
[-5.07755,-4.30021]
[-5.0641,-4.28778]
[-5.05071,-4.2754]
[-5.03739,-4.26307]
[-5.02412,-4.2508]
[-5.01092,-4.23859]
[-4.99777,-4.22643]
[-4.98469,-4.21432]
[-4.97166,-4.20227]
[-4.95869,-4.19027]
[-4.94578,-4.17833]
[-4.93293,-4.16643]
[-4.92013,-4.1546]
[-4.9074,-4.14281]
[-4.89472,-4.13107]
[-4.8821,-4.11939]
[-4.86953,-4.10776]
[-4.85702,-4.09618]
[-4.84457,-4.08465]
[-4.83217,-4.07317]
[-4.81982,-4.06174]
[-4.80754,-4.05037]
[-4.7953,-4.03904]
[-4.78312,-4.02776]
[-4.771,-4.01653]
[-4.75893,-4.00535]
[-4.74691,-3.99422]
[-4.73494,-3.98314]
[-4.72303,-3.97211]
[-4.71117,-3.96112]
[-4.69937,-3.95019]
[-4.68761,-3.9393]
[-4.67591,-3.92846]
[-4.66426,-3.91766]
[-4.65266,-3.90691]
[-4.64111,-3.89621]
[-4.62961,-3.88556]
[-4.61816,-3.87495]
[-4.60676,-3.86438]
[-4.59542,-3.85387]
[-4.58412,-3.8434]
[-4.57287,-3.83297]
[-4.56167,-3.82259]
[-4.55052,-3.81225]
[-4.53942,-3.80196]
[-4.52836,-3.79171]
[-4.51735,-3.7815]
[-4.5064,-3.77134]
[-4.49549,-3.76123]
[-4.48462,-3.75115]
[-4.47381,-3.74112]
[-4.46304,-3.73114]
[-4.45231,-3.72119]
[-4.44164,-3.71129]
[-4.43101,-3.70143]
[-4.42042,-3.69161]
[-4.40988,-3.68183]
[-4.39939,-3.6721]
[-4.38894,-3.66241]
[-4.37854,-3.65275]
[-4.36818,-3.64314]
[-4.35786,-3.63357]
[-4.34759,-3.62404]
[-4.33736,-3.61455]
[-4.32718,-3.6051]
[-4.31704,-3.59569]
[-4.30695,-3.58632]
[-4.29689,-3.57699]
[-4.28688,-3.5677]
[-4.27691,-3.55845]
[-4.26699,-3.54924]
[-4.25711,-3.54006]
[-4.24727,-3.53093]
[-4.23747,-3.52183]
[-4.22771,-3.51277]
[-4.21799,-3.50375]
[-4.20832,-3.49477]
[-4.19868,-3.48582]
[-4.18909,-3.47691]
[-4.17954,-3.46804]
[-4.17002,-3.45921]
[-4.16055,-3.45041]
[-4.15112,-3.44165]
[-4.14172,-3.43293]
[-4.13237,-3.42424]
[-4.12306,-3.41559]
[-4.11378,-3.40697]
[-4.10454,-3.39839]
[-4.09535,-3.38985]
[-4.08619,-3.38134]
[-4.07707,-3.37287]
[-4.06798,-3.36443]
[-4.05894,-3.35602]
[-4.04993,-3.34765]
[-4.04096,-3.33932]
[-4.03203,-3.33102]
[-4.02313,-3.32275]
[-4.01428,-3.31452]
[-4.00546,-3.30632]
[-3.99667,-3.29816]
[-3.98792,-3.29003]
[-3.97921,-3.28193]
[-3.97053,-3.27387]
[-3.96189,-3.26584]
[-3.95329,-3.25784]
[-3.94472,-3.24987]
[-3.93619,-3.24194]
[-3.92769,-3.23404]
[-3.91923,-3.22617]
[-3.9108,-3.21834]
[-3.90241,-3.21053]
[-3.89405,-3.20276]
[-3.88572,-3.19502]
[-3.87743,-3.18731]
[-3.86918,-3.17963]
[-3.86095,-3.17199]
[-3.85277,-3.16437]
[-3.84461,-3.15679]
[-3.83649,-3.14923]
[-3.8284,-3.14171]
[-3.82034,-3.13422]
[-3.81232,-3.12676]
[-3.80433,-3.11932]
[-3.79637,-3.11192]
[-3.78845,-3.10455]
